ID,Study,Citations,New relevant works,1,2,3,4,5
1,Benchmarking Modern Distributed Streaming Platforms,42,0,,,,,
2,DSPBench: A Suite of Benchmark Applications for Distributed Data Stream Processing Systems,15,0,,,,,
3,Evaluation of Stream Processing Frameworks,51,1,ESPBench: The Enterprise Stream Processing Benchmark,,,,
4,Theodolite: Scalability Benchmarking of Distributed Stream Processing Engines in Microservice Architectures,30,0,,,,,
5,Benchmarking distributed stream data processing systems,215,0,,,,,
6,RIoTBench: An IoT benchmark for distributed stream processing systems,109,0,,,,,
7,Big Stream Processing Systems: An Experimental Evaluation,25,0,,,,,
8,Quantitative Impact Evaluation of an Abstraction Layer for Data Stream Processing Systems,11,0,,,,,
9,Analyzing Efficient Stream Processing on Modern Hardware,89,0,,,,,
10,Performance evaluation of real-time stream processing systems for Internet of Things applications,24,0,,,,,
11,"Benchmarking Streaming Computation Engines: Storm, Flink and Spark Streaming",380,1,Experimental Study on the Performance and Resource Utilization of Data Streaming Frameworks,,,,
12,A Performance Analysis of Fault Recovery in Stream Processing Frameworks,7,0,,,,,
,,,,,,,,
,Done on 01.12.2022,,,,,,,
